family,group,module,metric_name,zone,side,views,source_spaces,scope,status,catalog_role,function_template,notes
F_zyg_temp,zyg_temp,zygomatic_temporal.py,left_cheek_slope,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,pruned,discrimination,,restored_from_stability_and_identity_config
F_zyg_temp,zyg_temp,zygomatic_temporal.py,left_cheek_z_var,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F0,existing,existing_backend.py,left_cliff_gradient,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,pruned,discrimination,,restored_from_stability_and_identity_config
F0,existing,existing_backend.py,left_eyebrow,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F0,existing,existing_backend.py,left_fissure_ratio,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,pruned,discrimination,,restored_from_stability_and_identity_config
F2,angles,angles.py,left_lateral_canthus_angle,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,pruned,discrimination,,restored_from_stability_and_identity_config
F0,existing,existing_backend.py,left_lower_flatness,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,pruned,discrimination,,restored_from_stability_and_identity_config
F9,dense_residuals,dense_residuals.py,left_lower_lid_residual,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,pair,active,both,,restored_from_stability_and_identity_config
F2,angles,angles.py,left_medial_canthus_angle,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,pruned,discrimination,,restored_from_stability_and_identity_config
F0,existing,existing_backend.py,left_opening_balance,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F0,existing,existing_backend.py,left_spherical_variance,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
